8
amphibian
amphiuma
army of frogs
barking frog
black toad
brook salamander
bullfrog
caecilian
clawed frog
climbing salamander
common frog
crested newt
cricket frog
disc-tongued frog
dusky salamander
dwarf siren
eastern newt
ensatina
european toad
fire salamander
fire-belly newt
fork-tongued frog
frog
froglet
gerrothorax
ghost frog
giant salamander
glass frog
gold frog
goliath frog
ground frog
hellbender
horned frog
indonesian floating frog
jefferson salamander
knobby newt
knot of toads
leopard frog
litter frog
long-toed salamander
mantella frog
mexican treefrog
moss frog
mud salamander
mudpuppy
narrow-mouthed frog
natterjack
newt
ornate horned frog
paddle-tail newt
painted frog
poison arrow frog
poison dart frog
polliwog
red eft
red salamander
red-eyed tree frog
red-legged frog
rice frog
saddleback toad
salamander
sedge frog
shovelnose frog
siren
spadefoot
spotted newt
spring peeper frog
spring salamander
tadpole
tailed frog
toad
tongueless frog
torrent salamander
treefrog
true frog
true toad
vietnamese tree frog
warty newt
water frog
waterdog
western toad
wood frog
woodlands salamander
yellow-legged frog
