121
abraham lincoln
america
american
american revolution
battles
bill of rights
birthday
british
celebrate
cherry tree
colonists
commander in chief
congress
constitution
continental army
continental congress
democracy
dentures
elected
election
electoral college
false teeth
father of the country
february
federal holiday
first president
flag
forefather
general
george washington
government
historic
historical
history
holiday
leader
leadership
liberty bell
lincoln
log cabin
martha washington
military
mount vernon
nation
national
new york city (early capital of the usa)
oath of office
patriot
patriotism
political
political party
politics
president
presidents' day
"red, white, and blue"
redcoats
revolution
revolutionary war
seventeen seventy-six (1776)
stars and stripes
states
thirteen colonies
unanimous election
united states of america
us constitution
usa
vice president
virginia
vote
war
washington
"washington, dc (current capital of the usa)"
white house
