30
accelerator
air conditioner
air conditioning
air filter
air vent
airbag
alarm
all-wheel drive
alternator
antenna
anti-lock brakes
armrest
auto
automatic transmission
automobile
axle
baby car seat
baby seat
back-up lights
battery
bench seat
bonnet
brake light
brake pedal
brakes
bucket seat
bumper
camshaft
car
carburetor
catalytic converter
chassis
child car seat
chrome trim
clutch
computer
console
cooling system
crankshaft
cruise control
cylinder
dashboard
defroster
diesel engine
differential
dip stick
door
door handle
drive belt
drive shaft
driver's seat
emergency brake
emergency lights
emissions
engine
engine block
exhaust pipe
exhaust system
fan belt
fender
filter
floor mat
fog light
four-wheel drive
frame
fuel
fuel cap
fuel gauge
fuse
gas
gas gauge
gas pedal
gas tank
gasket
gasoline
gauge
gear shift
gear stick
gearbox
glove compartment
gps
grille
hand brake
headlamp
headlight
headrest
heater
high-beam headlights
hood
horn
hubcap
hybrid
ignition
instrument panel
interior light
internal combustion engine
jack
key
license plate
lights
lock
low-beam headlights
lug bolt
lug nut
manifold
manual transmission
mat
mirror
moon roof
motor
mud flap
muffler
navigation system
odometer
oil
oil filter
oil tank
parking brake
parking lights
passenger seat
pedal
piston
power brakes
power steering
power window switch
radiator
radio
rag top
rear window defroster
rear-view mirror
reverse light
rims
roof
roof rack
rotary engine
seat
seat belt
shift
shock absorber
side airbags
side mirror
spare tire
spark plug
speaker
speedometer
spoiler
starter
steering column
steering wheel
sun visor
sunroof
suspension
tachometer
tailgate
temperature gauge
thermometer
tire
trailer hitch
transmission
trim
trip computer
trunk
turbo charger
turn signal
undercarriage
unleaded gas
valve
vents
visor
warning light
wheel
wheel well
window
windshield
windshield wiper
