140
airport
amusement park
antique shop
appliance store
aquarium
arcade
arena
army surplus store
art gallery
art museum
auditorium
automat
bakery
bank
bar
barbershop
beauty salon
bed and breakfast
bistro
bookstore
boutique
brasserie
bus station
butcher shop
cafe
cafeteria
camera store
candy shop
capitol building
car dealership
car wash
chain store
cinema
city hall
civic center
clinic
clothing store
coffee shop
college
community center
consignment shop
convenience store
convention center
copy shop
courthouse
dance studio
deli
delicatessen
dentist's office
department store
diner
discount store
doctor's office
dollar store
dressmaker
drive-in movie
drive-through
drugstore
electronics store
emporium
fabric store
factory outlet
farmer's market
fast food restaurant
feed store
fire station
five-and-dime store
fix-it shop
florist
food court
funeral home
furniture store
gallery
game store
gas station
general store
gift store
grocery store
gym
gymnasium
haberdashery
hairdresser
hardware store
hobby store
home improvement store
hotel
ice cream shop
inn
jewelry store
kiosk store
library
lighthouse
lumberyard
mall
market
meeting house
milliner
motel
movie theater
museum
music store
natural history museum
nursery
office building
optometrist
outlet store
park
parking garage
pawnshop
pet store
pharmacy
pizza place
playground
police station
post office
pub
public garden
quilt store
real estate agency
repair shop
restaurant
retailer
salon
saloon
sandwich shop
school
second hand store
shoe store
shop
soda shop
sporting goods store
stadium
stationer
stationery store
store
supermarket
surplus store
tailor
tavern
tea house
tearoom
theater
thrift store
town hall
toy store
train station
travel agent
truck stop
undertaker
university
upholstery shop
video store
wax museum
zoo
