169
anorak
arctic
balaclava
below zero
beret
biting
bitter cold
black ice
blanket
bleak
blizzard
blustery
boots
brisk
cap
chill
chills
chilly
chimney
coat
cocoon
cold
cold snap
comforter
cough
curling
december
dog sled
down coat
drafty
dreary
duvet
earflap hat
earmuffs
eggnog
evergreen
february
fire
fireplace
firewood
flannel
fleece
flu
flurries
fog
freezing
freezing rain
frigid
frostbite
frostbitten
frosty
frozen
fruitcake
furnace
gale
gingerbread
gingerbread house
gingerbread man
gingerbread woman
glacial
glacier
gloves
gust
hailstone
harsh
heat
heater
hibernate
hockey
hoodie
hot chocolate
hypothermia
ice
ice cap
ice crystal
ice dam
ice fishing
ice hockey
ice scraper
ice skates
ice storm
iceberg
icicle
icy
insulation
jack frost (the personification of winter)
jacket
january
lake effect
log
longjohns
luge
melt
mittens
muffler
nippy
nor'easter
overcast
overcoat
overshoes
parka
pinecone
polar
pullover
quilt
radiator
raw
reindeer
scarf
shiver
show shoe
skate
ski
sled
sledge
sleet
slippery
slush
sneeze
sniffle
snow
snow shovel
snowball
snowboard
snowbound
snowfall
snowflake
snowman
snowplow
snowstorm
snowy
socks
solstice
storm
stove
sugarplum
sweater
thaw
thermometer
toboggan
turtleneck
whiteout
wind
wind chill factor
windy
winter
wintertime
wintry
wood stove
wool
woolens
zero degrees
