142
bagpipe
banshee
blarney
blarney stone
bog
brogue
celebrate
celtic
clover
coins
donnybrook
dublin
emerald green
emerald isle
fortune
four-leaf clover
gaelic
gold
good luck
green
harp
hibernian
holiday
ireland
irish
irish republic
jig
legend
leprechaun
limerick
little people
luck
luck of the irish
lucky
magic
magical
march
mischief
mischievous
patrick
patron
pot of gold
potato
rainbow
republic of ireland
saint
saint patrick
seventeenth
shamrock
shillelagh
snake
st. paddy's day
st. patrick
tradition
trifolium (the shamrock)
walking stick
wearing of the green
