67
animal
apex predator
autotroph
bacterium
calorie
carnivore
carnivorous
chain
consume
consumer
consumption efficiency
decomposer
detritivore
diet
eat
efficiency
energy
energy transfer
equilibrium
filter feeder
folivore (leaf-eater)
food
food chain
food cycle
food network
food web
frugivore (fruit-eater)
fungus
granivore (seed-eater)
herbivore
herbivorous
heterotroph
hypercarnivore
hypocarnivore
ingest
insectivore
insectivorous
meat-eater
mesocarnivore
mucivores (sap eater)
nectarivore (nectar-eater)
obligate carnivore
omnivore
omnivorous
organism
palynivore (pollen eater)
photosynthesis
phytoplankton
piscivore
plant
plant-eater
predation
predator
prey
primary consumer
primary producer
production efficiency
quaternary consumer
scavenge
scavenger
secondary consumer
tertiary consumer
top predator
trophic level
vegetarian
web
xylophage (wood eater)
zooplankton
