prefix
a
an
ante
anti
auto
circum
co
com
con
contra
contro
de
dis
en
ex
extra
hetero
homo
homeo
hyper
il
im
in
ir
in
inter
intra
intro
macro
micro
mono
non
omni
post
pre
pro
sub
sym
syn
tele
trans
tri
un
uni
up
